           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
2580 :          @,          0,       2449,          0,        999,         -1, 
2581 :          @,          0,       2506,          0,        999,         -1, 
2582 :          @,          0,       2535,          0,         99,         -1, 
2583 :          @,          0,       2536,         99,        999,         -1, 
2584 :          @,          0,       2543,          0,        106,         -1, 
2585 :          @,          0,       2544,        106,        120,         -1, 
2586 :          @,          0,       2545,        120,        999,         -1, 
2587 : mons_ML0020_100_clr0_NM_002,          5,       2442,          0,         45,         -1, 
2588 :          @,          0,       2443,         45,        999,         -1, 
2589 :          @,          0,       2448,          0,         61,         -1, 
2590 :          @,          0,       2449,         61,        999,         -1, 
2591 :          @,          0,       2497,          0,        999,         -1, 
2592 : mons_ML0020_100_clr1_00,         12,       2444,         20,         46,         -1, 
2593 :          @,          0,       2445,         46,         61,         -1, 
2594 :          @,          0,       2446,         61,        999,         -1, 
2595 :          @,          0,       2447,         20,         46,         -1, 
2596 :          @,          0,       2448,         46,         61,         -1, 
2597 :          @,          0,       2449,         61,        999,         -1, 
2598 :          @,          0,       2510,          0,         59,         -1, 
2599 :          @,          0,       2511,         59,         73,         -1, 
2600 :          @,          0,       2512,         73,        999,         -1, 
2601 :          @,          0,       2519,          0,         40,         -1, 
2602 :          @,          0,       2520,         40,         54,         -1, 
2603 :          @,          0,       2521,         54,        999,         -1, 
2604 : mons_ML0020_100_clr1_NM_003,         12,       2444,          0,         46,         -1, 
2605 :          @,          0,       2445,         46,         61,         -1, 
2606 :          @,          0,       2446,         61,        999,         -1, 
2607 :          @,          0,       2447,          0,         46,         -1, 
2608 :          @,          0,       2448,         46,         61,         -1, 
2609 :          @,          0,       2449,         61,        999,         -1, 
2610 :          @,          0,       2510,          0,         59,         -1, 
2611 :          @,          0,       2511,         59,         73,         -1, 
2612 :          @,          0,       2512,         73,        999,         -1, 
2613 :          @,          0,       2519,          0,         40,         -1, 
2614 :          @,          0,       2520,         40,         54,         -1, 
2615 :          @,          0,       2521,         54,        999,         -1, 
2616 : mons_ML0020_100_clr1_NM_004,         12,       2444,          0,         46,         -1, 
2617 :          @,          0,       2445,         46,         61,         -1, 
2618 :          @,          0,       2446,         61,        999,         -1, 
2619 :          @,          0,       2447,          0,         46,         -1, 
2620 :          @,          0,       2448,         46,         61,         -1, 
2621 :          @,          0,       2449,         61,        999,         -1, 
2622 :          @,          0,       2510,          0,         59,         -1, 
2623 :          @,          0,       2511,         59,         73,         -1, 
2624 :          @,          0,       2512,         73,        999,         -1, 
2625 :          @,          0,       2519,          0,         40,         -1, 
2626 :          @,          0,       2520,         40,         54,         -1, 
